reports,event_date
222,6/12/2020
260,6/13/2020
231,6/14/2020
275,6/15/2020
220,6/16/2020
219,6/17/2020
196,6/18/2020
201,6/19/2020
250,6/20/2020
234,6/21/2020
223,6/22/2020
203,6/23/2020
214,6/24/2020
262,6/25/2020
226,6/26/2020
228,6/27/2020
242,6/28/2020
225,6/29/2020
231,6/30/2020
295,7/1/2020
274,7/2/2020
333,7/3/2020
507,7/4/2020
361,7/5/2020
284,7/6/2020
247,7/7/2020
228,7/8/2020
181,7/9/2020
232,7/10/2020
228,7/11/2020
231,7/12/2020
226,7/13/2020
225,7/14/2020
206,7/15/2020
192,7/16/2020
216,7/17/2020
235,7/18/2020
218,7/19/2020
213,7/20/2020
217,7/21/2020
215,7/22/2020
193,7/23/2020
199,7/24/2020
227,7/25/2020
197,7/26/2020
194,7/27/2020
198,7/28/2020
188,7/29/2020
195,7/30/2020
246,7/31/2020
256,8/1/2020
228,8/2/2020
203,8/3/2020
181,8/4/2020
235,8/5/2020
215,8/6/2020
254,8/7/2020
234,8/8/2020
221,8/9/2020
227,8/10/2020
202,8/11/2020
205,8/12/2020
179,8/13/2020
212,8/14/2020
225,8/15/2020
214,8/16/2020
199,8/17/2020
189,8/18/2020
199,8/19/2020
195,8/20/2020
230,8/21/2020
229,8/22/2020
218,8/23/2020
173,8/24/2020
186,8/25/2020
193,8/26/2020
184,8/27/2020
194,8/28/2020
201,8/29/2020
230,8/30/2020
189,8/31/2020
228,9/1/2020
150,9/2/2020
211,9/3/2020
225,9/4/2020
260,9/5/2020
213,9/6/2020
242,9/7/2020
199,9/8/2020
175,9/9/2020
222,9/10/2020
193,9/11/2020
202,9/12/2020
202,9/13/2020
202,9/14/2020
200,9/15/2020
177,9/16/2020
171,9/17/2020
229,9/18/2020
235,9/19/2020
204,9/20/2020
199,9/21/2020
215,9/22/2020
207,9/23/2020
178,9/24/2020
200,9/25/2020
224,9/26/2020
210,9/27/2020
183,9/28/2020
207,9/29/2020
193,9/30/2020
250,10/1/2020
225,10/2/2020
212,10/3/2020
216,10/4/2020
222,10/5/2020
203,10/6/2020
200,10/7/2020
198,10/8/2020
209,10/9/2020
240,10/10/2020
224,10/11/2020
200,10/12/2020
150,10/13/2020
178,10/14/2020
203,10/15/2020
208,10/16/2020
236,10/17/2020
213,10/18/2020
197,10/19/2020
147,10/20/2020
214,10/21/2020
164,10/22/2020
199,10/23/2020
210,10/24/2020
185,10/25/2020
195,10/26/2020
157,10/27/2020
181,10/28/2020
178,10/29/2020
218,10/30/2020
240,10/31/2020
251,11/1/2020
157,11/2/2020
190,11/3/2020
176,11/4/2020
180,11/5/2020
203,11/6/2020
225,11/7/2020
197,11/8/2020
145,11/9/2020
195,11/10/2020
197,11/11/2020
137,11/12/2020
179,11/13/2020
213,11/14/2020
193,11/15/2020
161,11/16/2020
145,11/17/2020
159,11/18/2020
149,11/19/2020
186,11/20/2020
160,11/21/2020
156,11/22/2020
142,11/23/2020
140,11/24/2020
150,11/25/2020
166,11/26/2020
169,11/27/2020
157,11/28/2020
191,11/29/2020
158,11/30/2020
195,12/1/2020
148,12/2/2020
144,12/3/2020
148,12/4/2020
181,12/5/2020
157,12/6/2020
121,12/7/2020
137,12/8/2020
151,12/9/2020
174,12/10/2020
179,12/11/2020
159,12/12/2020
166,12/13/2020
124,12/14/2020
151,12/15/2020
131,12/16/2020
126,12/17/2020
145,12/18/2020
148,12/19/2020
177,12/20/2020
133,12/21/2020
156,12/22/2020
146,12/23/2020
185,12/24/2020
207,12/25/2020
166,12/26/2020
156,12/27/2020
155,12/28/2020
130,12/29/2020
143,12/30/2020
255,12/31/2020
238,1/1/2021
174,1/2/2021
156,1/3/2021
139,1/4/2021
142,1/5/2021
118,1/6/2021
120,1/7/2021
150,1/8/2021
165,1/9/2021
140,1/10/2021
139,1/11/2021
155,1/12/2021
119,1/13/2021
135,1/14/2021
143,1/15/2021
164,1/16/2021
147,1/17/2021
137,1/18/2021
154,1/19/2021
159,1/20/2021
150,1/21/2021
136,1/22/2021
160,1/23/2021
149,1/24/2021
160,1/25/2021
131,1/26/2021
147,1/27/2021
141,1/28/2021
124,1/29/2021
149,1/30/2021
158,1/31/2021
160,2/1/2021
127,2/2/2021
130,2/3/2021
153,2/4/2021
134,2/5/2021
140,2/6/2021
140,2/7/2021
117,2/8/2021
116,2/9/2021
124,2/10/2021
125,2/11/2021
125,2/12/2021
121,2/13/2021
106,2/14/2021
117,2/15/2021
111,2/16/2021
138,2/17/2021
115,2/18/2021
113,2/19/2021
135,2/20/2021
136,2/21/2021
147,2/22/2021
140,2/23/2021
137,2/24/2021
150,2/25/2021
137,2/26/2021
157,2/27/2021
151,2/28/2021
172,3/1/2021
172,3/2/2021
158,3/3/2021
144,3/4/2021
157,3/5/2021
183,3/6/2021
186,3/7/2021
141,3/8/2021
158,3/9/2021
173,3/10/2021
143,3/11/2021
162,3/12/2021
219,3/13/2021
179,3/14/2021
131,3/15/2021
123,3/16/2021
161,3/17/2021
142,3/18/2021
179,3/19/2021
205,3/20/2021
187,3/21/2021
178,3/22/2021
158,3/23/2021
158,3/24/2021
159,3/25/2021
173,3/26/2021
200,3/27/2021
176,3/28/2021
191,3/29/2021
168,3/30/2021
176,3/31/2021
209,4/1/2021
154,4/2/2021
192,4/3/2021
226,4/4/2021
169,4/5/2021
200,4/6/2021
161,4/7/2021
168,4/8/2021
194,4/9/2021
225,4/10/2021
175,4/11/2021
173,4/12/2021
169,4/13/2021
186,4/14/2021
179,4/15/2021
154,4/16/2021
181,4/17/2021
197,4/18/2021
160,4/19/2021
192,4/20/2021
137,4/21/2021
142,4/22/2021
177,4/23/2021
180,4/24/2021
176,4/25/2021
184,4/26/2021
138,4/27/2021
141,4/28/2021
169,4/29/2021
187,4/30/2021
235,5/1/2021
193,5/2/2021
161,5/3/2021
165,5/4/2021
148,5/5/2021
163,5/6/2021
190,5/7/2021
227,5/8/2021
182,5/9/2021
228,5/10/2021
153,5/11/2021
182,5/12/2021
218,5/13/2021
204,5/14/2021
213,5/15/2021
195,5/16/2021
211,5/17/2021
208,5/18/2021
179,5/19/2021
196,5/20/2021
210,5/21/2021
229,5/22/2021
231,5/23/2021
209,5/24/2021
188,5/25/2021
162,5/26/2021
172,5/27/2021
191,5/28/2021
212,5/29/2021
204,5/30/2021
210,5/31/2021
208,6/1/2021
162,6/2/2021
182,6/3/2021
196,6/4/2021
183,6/5/2021
203,6/6/2021
168,6/7/2021
174,6/8/2021
168,6/9/2021
172,6/10/2021
197,6/11/2021
226,6/12/2021
187,6/13/2021
160,6/14/2021
190,6/15/2021
172,6/16/2021
170,6/17/2021
203,6/18/2021
209,6/19/2021
201,6/20/2021
191,6/21/2021
222,6/22/2021
179,6/23/2021
188,6/24/2021
190,6/25/2021
223,6/26/2021
241,6/27/2021
201,6/28/2021
188,6/29/2021
158,6/30/2021
222,7/1/2021
276,7/2/2021
396,7/3/2021
547,7/4/2021
251,7/5/2021
199,7/6/2021
190,7/7/2021
215,7/8/2021
199,7/9/2021
225,7/10/2021
190,7/11/2021
178,7/12/2021
187,7/13/2021
187,7/14/2021
198,7/15/2021
209,7/16/2021
232,7/17/2021
187,7/18/2021
203,7/19/2021
181,7/20/2021
184,7/21/2021
188,7/22/2021
175,7/23/2021
206,7/24/2021
172,7/25/2021
179,7/26/2021
196,7/27/2021
172,7/28/2021
174,7/29/2021
219,7/30/2021
218,7/31/2021
230,8/1/2021
195,8/2/2021
201,8/3/2021
155,8/4/2021
168,8/5/2021
182,8/6/2021
186,8/7/2021
180,8/8/2021
169,8/9/2021
174,8/10/2021
173,8/11/2021
169,8/12/2021
174,8/13/2021
204,8/14/2021
220,8/15/2021
197,8/16/2021
187,8/17/2021
177,8/18/2021
152,8/19/2021
