reports,event_date
21,5/18/2020
15,5/19/2020
32,5/20/2020
17,5/21/2020
25,5/22/2020
33,5/23/2020
31,5/24/2020
25,5/25/2020
22,5/26/2020
17,5/27/2020
22,5/28/2020
20,5/29/2020
32,5/30/2020
28,5/31/2020
44,6/1/2020
22,6/2/2020
33,6/3/2020
29,6/4/2020
24,6/5/2020
33,6/6/2020
42,6/7/2020
32,6/8/2020
28,6/9/2020
18,6/10/2020
21,6/11/2020
26,6/12/2020
38,6/13/2020
22,6/14/2020
28,6/15/2020
24,6/16/2020
24,6/17/2020
18,6/18/2020
15,6/19/2020
29,6/20/2020
24,6/21/2020
33,6/22/2020
27,6/23/2020
36,6/24/2020
33,6/25/2020
25,6/26/2020
31,6/27/2020
30,6/28/2020
32,6/29/2020
27,6/30/2020
51,7/1/2020
26,7/2/2020
36,7/3/2020
46,7/4/2020
31,7/5/2020
20,7/6/2020
19,7/7/2020
28,7/8/2020
9,7/9/2020
20,7/10/2020
27,7/11/2020
25,7/12/2020
31,7/13/2020
28,7/14/2020
23,7/15/2020
26,7/16/2020
24,7/17/2020
25,7/18/2020
28,7/19/2020
23,7/20/2020
25,7/21/2020
27,7/22/2020
19,7/23/2020
18,7/24/2020
24,7/25/2020
17,7/26/2020
16,7/27/2020
25,7/28/2020
21,7/29/2020
23,7/30/2020
30,7/31/2020
38,8/1/2020
28,8/2/2020
19,8/3/2020
19,8/4/2020
19,8/5/2020
27,8/6/2020
19,8/7/2020
24,8/8/2020
15,8/9/2020
15,8/10/2020
19,8/11/2020
28,8/12/2020
24,8/13/2020
28,8/14/2020
28,8/15/2020
34,8/16/2020
22,8/17/2020
28,8/18/2020
18,8/19/2020
24,8/20/2020
25,8/21/2020
33,8/22/2020
20,8/23/2020
26,8/24/2020
29,8/25/2020
17,8/26/2020
19,8/27/2020
25,8/28/2020
23,8/29/2020
33,8/30/2020
22,8/31/2020
23,9/1/2020
15,9/2/2020
21,9/3/2020
16,9/4/2020
21,9/5/2020
23,9/6/2020
31,9/7/2020
26,9/8/2020
20,9/9/2020
21,9/10/2020
15,9/11/2020
24,9/12/2020
28,9/13/2020
25,9/14/2020
28,9/15/2020
20,9/16/2020
26,9/17/2020
38,9/18/2020
34,9/19/2020
26,9/20/2020
33,9/21/2020
24,9/22/2020
26,9/23/2020
21,9/24/2020
19,9/25/2020
24,9/26/2020
37,9/27/2020
22,9/28/2020
27,9/29/2020
23,9/30/2020
31,10/1/2020
20,10/2/2020
23,10/3/2020
35,10/4/2020
31,10/5/2020
17,10/6/2020
29,10/7/2020
26,10/8/2020
19,10/9/2020
33,10/10/2020
28,10/11/2020
27,10/12/2020
26,10/13/2020
25,10/14/2020
20,10/15/2020
23,10/16/2020
43,10/17/2020
23,10/18/2020
19,10/19/2020
23,10/20/2020
29,10/21/2020
14,10/22/2020
34,10/23/2020
32,10/24/2020
23,10/25/2020
24,10/26/2020
19,10/27/2020
27,10/28/2020
22,10/29/2020
25,10/30/2020
21,10/31/2020
34,11/1/2020
11,11/2/2020
23,11/3/2020
17,11/4/2020
26,11/5/2020
24,11/6/2020
42,11/7/2020
16,11/8/2020
23,11/9/2020
22,11/10/2020
17,11/11/2020
20,11/12/2020
22,11/13/2020
36,11/14/2020
23,11/15/2020
15,11/16/2020
27,11/17/2020
27,11/18/2020
13,11/19/2020
18,11/20/2020
25,11/21/2020
22,11/22/2020
24,11/23/2020
16,11/24/2020
15,11/25/2020
20,11/26/2020
18,11/27/2020
21,11/28/2020
14,11/29/2020
19,11/30/2020
22,12/1/2020
19,12/2/2020
15,12/3/2020
15,12/4/2020
17,12/5/2020
17,12/6/2020
8,12/7/2020
19,12/8/2020
13,12/9/2020
20,12/10/2020
17,12/11/2020
24,12/12/2020
16,12/13/2020
11,12/14/2020
15,12/15/2020
8,12/16/2020
20,12/17/2020
18,12/18/2020
11,12/19/2020
22,12/20/2020
8,12/21/2020
24,12/22/2020
22,12/23/2020
22,12/24/2020
18,12/25/2020
13,12/26/2020
12,12/27/2020
21,12/28/2020
16,12/29/2020
17,12/30/2020
21,12/31/2020
15,1/1/2021
15,1/2/2021
15,1/3/2021
16,1/4/2021
10,1/5/2021
20,1/6/2021
19,1/7/2021
24,1/8/2021
23,1/9/2021
23,1/10/2021
20,1/11/2021
24,1/12/2021
22,1/13/2021
33,1/14/2021
24,1/15/2021
15,1/16/2021
15,1/17/2021
25,1/18/2021
32,1/19/2021
26,1/20/2021
20,1/21/2021
26,1/22/2021
20,1/23/2021
32,1/24/2021
27,1/25/2021
25,1/26/2021
23,1/27/2021
24,1/28/2021
23,1/29/2021
25,1/30/2021
8,1/31/2021
16,2/1/2021
21,2/2/2021
17,2/3/2021
25,2/4/2021
20,2/5/2021
22,2/6/2021
19,2/7/2021
25,2/8/2021
15,2/9/2021
19,2/10/2021
17,2/11/2021
24,2/12/2021
19,2/13/2021
20,2/14/2021
17,2/15/2021
13,2/16/2021
14,2/17/2021
18,2/18/2021
11,2/19/2021
21,2/20/2021
13,2/21/2021
28,2/22/2021
27,2/23/2021
19,2/24/2021
41,2/25/2021
22,2/26/2021
30,2/27/2021
36,2/28/2021
36,3/1/2021
34,3/2/2021
29,3/3/2021
28,3/4/2021
13,3/5/2021
28,3/6/2021
31,3/7/2021
31,3/8/2021
40,3/9/2021
30,3/10/2021
15,3/11/2021
36,3/12/2021
40,3/13/2021
28,3/14/2021
16,3/15/2021
28,3/16/2021
30,3/17/2021
27,3/18/2021
31,3/19/2021
37,3/20/2021
30,3/21/2021
32,3/22/2021
33,3/23/2021
31,3/24/2021
26,3/25/2021
42,3/26/2021
40,3/27/2021
37,3/28/2021
34,3/29/2021
27,3/30/2021
36,3/31/2021
37,4/1/2021
21,4/2/2021
32,4/3/2021
42,4/4/2021
28,4/5/2021
33,4/6/2021
27,4/7/2021
22,4/8/2021
45,4/9/2021
47,4/10/2021
24,4/11/2021
25,4/12/2021
30,4/13/2021
35,4/14/2021
34,4/15/2021
34,4/16/2021
37,4/17/2021
33,4/18/2021
37,4/19/2021
38,4/20/2021
24,4/21/2021
17,4/22/2021
32,4/23/2021
42,4/24/2021
34,4/25/2021
37,4/26/2021
29,4/27/2021
30,4/28/2021
39,4/29/2021
40,4/30/2021
34,5/1/2021
37,5/2/2021
32,5/3/2021
29,5/4/2021
22,5/5/2021
35,5/6/2021
22,5/7/2021
39,5/8/2021
23,5/9/2021
49,5/10/2021
41,5/11/2021
41,5/12/2021
38,5/13/2021
33,5/14/2021
35,5/15/2021
32,5/16/2021
44,5/17/2021
50,5/18/2021
32,5/19/2021
34,5/20/2021
36,5/21/2021
46,5/22/2021
36,5/23/2021
26,5/24/2021
33,5/25/2021
27,5/26/2021
29,5/27/2021
43,5/28/2021
20,5/29/2021
27,5/30/2021
35,5/31/2021
39,6/1/2021
25,6/2/2021
28,6/3/2021
34,6/4/2021
30,6/5/2021
30,6/6/2021
34,6/7/2021
27,6/8/2021
33,6/9/2021
24,6/10/2021
38,6/11/2021
38,6/12/2021
35,6/13/2021
27,6/14/2021
38,6/15/2021
39,6/16/2021
27,6/17/2021
42,6/18/2021
34,6/19/2021
28,6/20/2021
35,6/21/2021
36,6/22/2021
33,6/23/2021
38,6/24/2021
49,6/25/2021
32,6/26/2021
40,6/27/2021
34,6/28/2021
27,6/29/2021
37,6/30/2021
36,7/1/2021
59,7/2/2021
50,7/3/2021
70,7/4/2021
24,7/5/2021
40,7/6/2021
39,7/7/2021
35,7/8/2021
34,7/9/2021
40,7/10/2021
38,7/11/2021
31,7/12/2021
28,7/13/2021
41,7/14/2021
48,7/15/2021
30,7/16/2021
34,7/17/2021
33,7/18/2021
42,7/19/2021
29,7/20/2021
32,7/21/2021
29,7/22/2021
36,7/23/2021
30,7/24/2021
20,7/25/2021
27,7/26/2021
37,7/27/2021
33,7/28/2021
31,7/29/2021
31,7/30/2021
33,7/31/2021
